Term	inDocumentsCount	RawFrequency	RelativeFrequency	RelativePeakedness	RelativeSkewness	Distributions
alarum	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
albion	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
albion's	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
alice	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
alien	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
aloft	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
aloofness	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
alpha	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
altar	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
amass	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
amateur	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
amative	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
ambiente	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
ambled	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
american	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
amity	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
amorphous	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
anatomical	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
ancestry	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
angle	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
annoy	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
antennae	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
antipodean	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
ap	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
apartment	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
appeared	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
appraisable	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
apprehend	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
approving	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
apt	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
arc	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
arch	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
archetypal	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
archetype	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
archives	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
area	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
arraying	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
arrested	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
art	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
ascetic	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
ashes	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
ashy	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
aspiration	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
assertion	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
atomic	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
attendant	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
attitude	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
attractions	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
attributes	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
august	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
aunt	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
austere	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
automaton	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
avenues	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
averted	1	1	2.1612276E-4	NaN	NaN	2.1612276E-4
