Term	Poem	Part of Speech	Definition	Number of Occurrences	Tags
Soul	"Apology of Genius"; "Der Blinde Junge"; "Ignoramus"; "Love Songs"	noun	1) The spiritual, rational, and immortal part in man; that part of man which enables him to thing, and which renders him a subject of moral government;--sometimes, in distinction from the higher nature, or spirit, of man, the so-called animal soul, that is, the seat of life, the sensitive affections and phantasy, exclusive of the voluntary and rational powers; --sometimes, in distinction from the mind, the moral and emotional part of man's nature, the seat of feeling, in distinction from intellect; -- sometimes, the intellect only; the understanding; the seat of knowledge, as distinguished from feeling; 2) The seat of real life or vitality the source of action; the animating or essential part; 3) The leader; the insiperer; the moving spirit; the heart; as, the soul of an enterprise; an able general is the soul of his army; 4) Energy; courage; spirit; fervor; affection, or any other noble manifestation of the heart or moral nature; inherent power or goodness 5) A human being; a person; -- a familiar appellation, usually with a qualifying epithet; as, poor soul; 6) A pure or disembodied spirit (MW)		spiritual
Spirit	"Joyce's Ulysses"	noun	1) The spiritual, rational, and immortal part in man; that part of man which enables him to thing, and which renders him a subject of moral government;--sometimes, in distinction from the higher nature, or spirit, of man, the so-called animal soul, that is, the seat of life, the sensitive affections and phantasy, exclusive of the voluntary and rational powers; --sometimes, in distinction from the mind, the moral and emotional part of man's nature, the seat of feeling, in distinction from intellect; -- sometimes, the intellect only; the understanding; the seat of knowledge, as distinguished from feeling; 2) The seat of real life or vitality the source of action; the animating or essential part; 3) The leader; the insiperer; the moving spirit; the heart; as, the soul of an enterprise; an able general is the soul of his army; 4) Energy; courage; spirit; fervor; affection, or any other noble manifestation of the heart or moral nature; inherent power or goodness 5) A human being; a person; -- a familiar appellation, usually with a qualifying epithet; as, poor soul; 6) A pure or disembodied spirit (MW)		spiritual
Life	"Italian Pictures: July in Vallombrosa"; "Sketch of a Man on a Platform"	noun	1) The state of being which begins with generation, birth, or germination, and ends with death; also, the time during which this state continues; that state of an animal or plant in which all or any of its organs are capable of performing all or any of their functions;—used of all animal and vegetable organisms; 2) Of human beings: The union of soul and body; also, the duration of their union; sometimes, the deathless quality or existence of the soul; 3) (Philosophy) The potential principle, or force, by which the organs of animals and plants are started and continued in the performance of their several and coöperative functions; the vital force, whether regarded as physical or spiritual; 4) Figuratively: The potential or animating principle, also, the period of duration, of anything that is conceived of as resembling a natural organism in structure or functions; 5) A certain way or manner of living with respect to conditions, circumstances, character, conduct, occupation, etc.; hence, human affairs; also, lives, considered collectively, as a distinct class or type; 6) Animation; spirit; vivacity; vigor; energy; 7) That which imparts or excites spirit or vigor; that upon which enjoyment or success depends; 8) The living or actual form, person, thing, or state; 9) A person; a living being, usually a human being; 10) The system of animal nature; animals in general, or considered collectively; 11) An essential constituent of life, esp. the blood; 12) A history of the acts and events of life; a biography; 13) Enjoyment in the right use of the powers; especially, a spiritual existence; happiness in the favor of God; heavenly felicity; 14) Something dear to one as one's existence; a darling;—used as a term of endearment (MW)		spiritual; life
Day	"Der Blinde Junge"; "Ignoramus"	noun	1) The time of light, or interval between one night and the next; the time between sunrise and sunset; hence, the light; sunshine; 2) The period of the earth's revolution on its axis,—ordinarily divided into twenty-four hours.  It is measured by the interval between two successive transits of a celestial body over the same meridian, and takes a specific name from that of the body.  Thus, if this is the sun, the day is called a solar day; if it is a star, a sidereal day; if it is the moon, a lunar day; 3) Those hours, or the daily recurring period, allotted by usage or law for work; 4) A specific time or period; time, considered with reference to the existence or prominence of a person or thing; age; time; 5 (Preceded by the) Some day in particular, as some day of contest, some anniversary, etc. (MW)		light; astronomy
Cosmos	"Parturition"	noun (plural)	1) The universe or universality of created things, so called from the order and harmony displayed in it; 2) The theory or description of the universe, as a system displaying order and harmony (MW)		astronomy
Wane	"Lunar Baedeker"	verb	1) To be diminished; to decrease;—contrasted with wax, and especially applied to the luminous part of the moon; 2) To decline; to fail; to sink (MW)		astronomy
Lightening	"Der Blinde Junge"		1) To burst forth or dart, as lightning; to display a flash or flashes of lightning; to flash 2) To grow lighter; to become less dark or lowering; to brighten; to clear, as the sky (MW)		light; heat; astronomy
Warm	"Italian Pictures: The Costa San Giorgio"	verb	1) To communicate a moderate degree of heat to; to render warm; to supply or furnish heat to; 2) To make engaged or earnest; to interest; to engage; to excite ardor or zeal in; to enliven (MW)		heat
Bury	"O Hell"	verb	1) To cover out of sight, ether by heaping something over, or by placing within something, as earth, etc; to conceal by covering, to hide; 2) Specifically: To cover out of sight, as the body of a deceased person, in a grave, a tomb, or the ocean; to deposit (a corpse) in its resting place, with funeral ceremonies; to inter; to inhume; 3) To hide in oblivion; to put away finally; to abandon (MW)		spiritual; light
Wing	"Love Songs"	verb	1) To furnish with wings; to enable to fly, or to move with celerity; 2) To supply with wings or sidepieces; 3) To transport by flight; to cause to fly; 4) To move through in flight; to fly through; 5) To cut off the wings of; to wound in the wing to disable a wing of; as, to wing a bird. (MW)		spiritual; astronomy
Wax	"Lunar Baedeker"	verb	1) To increase in size; to grow bigger; to become larger or fuller;—as opposed to wane; 2) To pass from one state to another; to become; to grow (MW)		astronomy
